token	freq	docs
anné	309	67068,67385,67387,67794,67795,67800,67801,67802,67803,67937,67939,67945,68274,68276,68281,68283,68383,68385,68387,68389,68391,68392,68638,68641,68646,68881,68882,68885,68887,68888,69177,69178,69179,69185,69533,69534,69536,69539,69542,69811,69815,69821,70161,70164,70167,70170,70421,70422,70423,70744,70915,70916,70917,70920,71357,71358,71359,71362,71612,71614,71618,71620,71621,71835,71836,71837,71840,71842,72113,72115,72119,72392,72393,72394,72395,72396,72398,72400,72629,72630,72631,72632,72932,72933,72937,72939,73182,73183,73184,73185,73430,73431,73432,73434,73435,73436,73683,73684,73685,73688,73875,73876,73877,73878,73880,73881,74167,74168,74169,74170,74171,74450,74452,74454,74455,74457,74744,74745,74746,74747,75063,75064,75065,75071,75457,75458,75459,75461,75462,75465,75466,75788,75789,75791,75792,75793,76206,76208,76209,76211,76507,76508,76509,76511,76512,76514
tout	302	67071,67383,67386,67388,67391,67553,67554,67555,67558,67794,67795,67796,67801,67937,67938,67939,67940,67943,68274,68276,68279,68280,68383,68386,68387,68393,68643,68645,68881,68882,68886,69177,69180,69186,69533,69534,69538,69539,69540,69541,69543,69812,69814,69817,69819,69821,70161,70162,70163,70165,70166,70169,70170,70420,70421,70422,70424,70425,70428,70745,70914,70916,70917,70923,71357,71359,71362,71366,71612,71614,71617,71618,71835,71836,71837,71838,71839,71842,72115,72116,72119,72393,72395,72396,72398,72400,72629,72630,72631,72634,72932,72933,72934,72940,73182,73184,73185,73188,73430,73431,73432,73434,73435,73683,73684,73685,73689,73875,73876,73877,73879,73880,73882,74167,74168,74172,74449,74450,74453,74454,74455,74744,74745,74749,74752,75063,75064,75065,75066,75067,75069,75458,75459,75461,75462,75463,75466,75788,75789,75790,75791,75792,75793,75794,75795,76206,76207,76208,76209,76211,76213,76507,76508,76509,76510,76511,76515
n	298	67068,67383,67386,67389,67391,67553,67554,67794,67795,67798,67801,67937,67938,67939,67941,67943,68273,68274,68276,68281,68383,68387,68390,68640,68642,68643,68644,68881,68882,68886,68887,69177,69178,69183,69184,69533,69534,69535,69537,69540,69811,69813,69819,70161,70166,70420,70421,70422,70743,70744,70745,70749,70914,70915,70916,70917,71357,71359,71612,71614,71618,71620,71835,71837,71840,71842,71843,72113,72114,72115,72117,72393,72394,72397,72629,72630,72631,72632,72634,72635,72636,72932,72933,72935,72939,72940,73182,73183,73185,73187,73189,73430,73431,73432,73434,73683,73684,73685,73687,73688,73876,73877,74167,74168,74169,74172,74173,74449,74450,74454,74455,74745,74746,74749,74751,75063,75065,75066,75070,75457,75458,75463,75789,75792,75793,75794,76206,76207,76209,76210,76213,76507,76508,76511,76515
franc	295	67068,67071,67383,67388,67553,67795,67799,67801,67802,67804,67937,67938,67939,67943,67944,68273,68274,68275,68276,68279,68281,68383,68638,68641,68642,68645,68646,68881,68885,68888,69179,69180,69181,69182,69185,69533,69534,69535,69542,69543,69812,69814,69816,69818,69821,70161,70163,70164,70165,70422,70424,70745,70748,70751,70752,70753,70914,70915,70916,70917,71357,71358,71359,71366,71612,71614,71615,71616,71619,71835,71836,71837,71838,71841,71842,71845,72113,72114,72392,72393,72396,72399,72629,72630,72632,72636,72637,72933,72934,73182,73185,73187,73431,73434,73435,73683,73684,73687,73689,73875,73880,73882,74167,74168,74173,74450,74452,74453,74454,74455,74456,74745,74746,74749,74752,75064,75065,75066,75069,75457,75458,75459,75788,75792,75796,76206,76207,76208,76209,76213,76507,76510,76512,76513,76515
autr	288	67068,67071,67385,67386,67388,67389,67390,67553,67554,67555,67556,67794,67795,67798,67800,67801,67937,67938,67939,67942,68273,68274,68276,68277,68278,68279,68281,68383,68387,68390,68391,68393,68639,68642,68643,68646,68881,68883,68886,68887,68888,69177,69178,69179,69183,69184,69533,69536,69539,69811,69813,69814,69816,69817,69818,69819,69820,69821,70161,70162,70163,70164,70168,70420,70421,70422,70424,70425,70743,70746,70749,70752,70914,70917,71357,71358,71359,71363,71614,71615,71617,71618,71835,71836,71837,71842,72113,72114,72115,72117,72392,72395,72396,72397,72401,72629,72630,72631,72633,72636,72932,72933,72937,72939,73182,73183,73184,73185,73186,73430,73432,73434,73436,73683,73684,73685,73687,73691,73876,73877,73879,74167,74168,74169,74173,74449,74453,74455,74744,74746,74747,74749,74750,75063,75064,75065,75066,75068,75069,75070,75457,75458,75459,75463,75788,75790,75792,75793,76206,76209,76210,76213,76507,76508,76510,76511,76512,76516
elle	270	67388,67553,67554,67555,67557,67794,67795,67799,67802,67937,67938,67939,68273,68274,68279,68383,68387,68389,68391,68643,68645,68646,68881,68882,68883,68885,68886,69177,69178,69179,69182,69183,69184,69533,69535,69539,69540,69812,69813,69815,69816,69817,69821,70161,70162,70166,70420,70421,70422,70423,70424,70745,70746,70914,70915,70916,70918,71358,71359,71360,71612,71614,71615,71616,71620,71621,71836,71837,71840,71842,71843,72113,72114,72117,72118,72122,72394,72395,72397,72398,72400,72629,72630,72636,72932,72933,72934,72935,72939,73182,73183,73184,73187,73430,73431,73436,73683,73685,73686,73687,73688,73875,73876,73877,73878,73879,73882,74167,74168,74169,74171,74173,74449,74450,74451,74453,74455,74747,74749,74750,74752,75064,75065,75069,75070,75458,75459,75461,75462,75466,75789,75790,75794,75795,76207,76208,76209,76211,76213,76507,76508,76511
utilis	266	67385,67386,67387,67388,67390,67553,67554,67555,67558,67796,67797,67800,67937,67939,67940,67941,67942,68273,68274,68275,68280,68385,68388,68390,68392,68638,68641,68642,68644,68645,68646,68881,68883,68885,69177,69178,69179,69181,69182,69183,69186,69533,69534,69535,69537,69539,69811,69812,69814,69819,69820,70162,70165,70166,70167,70170,70420,70421,70423,70425,70426,70429,70744,70746,70747,70914,70916,70918,70919,70922,71357,71359,71612,71616,71617,71836,71837,71843,71845,72114,72115,72116,72393,72397,72632,72634,72635,72933,72934,73184,73188,73189,73431,73434,73435,73436,73683,73685,73686,73877,73878,73879,73880,74168,74174,74450,74451,74744,74745,74750,74751,75065,75066,75067,75069,75070,75458,75464,75788,75789,75791,75792,75793,75794,75796,75797,76207,76208,76210,76507,76508,76509,76511,76516
grand	259	67068,67071,67383,67387,67388,67553,67554,67795,67796,67798,67937,67938,67939,67940,67943,67945,68273,68275,68276,68277,68279,68383,68387,68389,68392,68638,68642,68643,68881,68882,68886,68888,69177,69178,69180,69181,69182,69534,69535,69540,69541,69543,69812,69814,69817,69820,70161,70163,70164,70166,70170,70420,70421,70422,70423,70424,70425,70426,70745,70746,70748,70752,70914,70917,70918,70922,70923,71357,71358,71362,71363,71366,71612,71614,71617,71621,71835,71836,71837,71842,72113,72114,72115,72121,72392,72395,72397,72629,72630,72633,72634,72933,72936,72937,72939,72940,73182,73184,73185,73187,73430,73431,73432,73434,73683,73684,73687,73690,73875,73876,73877,73882,73883,73884,74167,74168,74169,74172,74175,74176,74450,74456,74745,74746,74752,75063,75066,75070,75071,75457,75458,75459,75788,75789,75792,75794,75795,75797,76211,76213,76511
alor	259	67068,67385,67389,67390,67553,67554,67555,67558,67794,67798,67801,67802,67937,67938,67939,67941,68274,68279,68387,68388,68390,68638,68643,68644,68645,68881,68882,68883,68884,68887,69177,69178,69181,69182,69183,69533,69534,69535,69536,69537,69539,69540,69811,69812,69819,70161,70166,70420,70421,70422,70423,70424,70426,70744,70747,70749,70916,70918,71357,71358,71359,71363,71612,71614,71617,71835,71837,71842,71843,72113,72115,72116,72117,72119,72394,72397,72629,72630,72631,72632,72633,72634,72636,72932,72934,72939,72940,73182,73183,73184,73185,73188,73430,73432,73434,73683,73684,73685,73688,73875,73876,73877,73882,74167,74168,74169,74449,74450,74454,74455,74744,74745,74751,75064,75065,75067,75069,75070,75457,75458,75459,75461,75462,75788,75789,75790,75791,75792,75793,75794,76206,76209,76213,76507,76508,76511
y	256	67068,67383,67389,67553,67554,67794,67795,67798,67937,67938,68274,68275,68276,68279,68383,68384,68386,68387,68393,68638,68643,68644,68882,68885,68887,69177,69178,69182,69183,69535,69537,69538,69812,69814,69817,69821,70161,70162,70163,70166,70421,70422,70424,70745,70915,70916,70917,70919,71358,71359,71362,71363,71612,71614,71621,71835,71837,71841,71842,72113,72114,72122,72393,72394,72395,72396,72401,72630,72631,72634,72636,72932,72933,72938,72939,73182,73183,73184,73185,73187,73188,73190,73430,73431,73432,73433,73434,73683,73684,73687,73688,73875,73876,73877,73882,74167,74168,74169,74172,74174,74450,74455,74744,74745,74746,74750,74752,75063,75064,75065,75066,75069,75070,75457,75458,75459,75461,75462,75466,75789,75790,75791,75792,75793,75794,76206,76207,76209,76210,76213,76507,76514
