    token	freq	docs
y	256	73434,73187,67938,68638,75457,74167,73185,72933,72932,73184,73190,74172,72113,69537,73433,76210,73432,71621,72114,73183,73430,75069,76206,76213,76207,73431,73182,74174,67068,70919,69535,68274,73683,69817,70163,70162,76507,68275,67554,72401,67795,69182,69814,75794,70161,69183,68276,67794,68882,69178,73875,76514,75790,75791,73684,68887,68885,69812,73876,70166,75793,67383,75792,73877,73687,67553,69177,72393,71842,68644,72634,70745,72636,69821,74455,75789,73688,70424,71841,68643,72394,74450,67389,73882,70421,72395,67798,72630,70422,68279,72396,72631,71363,69538,75461,75065,72939,72938,75064,75070,71835,71612,70915,71362,70917,75462,71837,76209,75066,68383,70916,72122,71359,74745,68387,68393,75063,73188,67937,68386,74744,74750,75466,71614,71358,74746,75458,74752,68384,74168,74169,75459
n	235	67939,73434,73187,67938,71357,74749,75457,74167,73185,72932,74172,69533,72113,69537,76210,73432,69534,72114,73183,73430,76206,72935,76213,76207,73431,73182,67068,69535,68274,73683,67386,76507,72629,68881,67795,67391,75794,74449,70161,68276,68882,69540,68886,69178,69811,73685,72940,76515,67801,73684,68273,68887,69184,73876,70166,75793,67383,75792,73877,69813,73687,67553,70749,72635,70744,71843,69177,71842,68644,72634,70745,72636,71840,68281,74455,75789,74454,73688,68643,72394,74450,67389,76508,69819,70421,67798,72632,70743,68642,68640,72630,72397,70422,72631,70914,75065,72939,75070,71835,71612,70915,70917,71837,76209,75066,68383,75463,70916,71359,74751,74745,68387,73189,75063,67937,71614,75458,68390,74168,74169
technologie	231	70921,73435,68638,71619,75457,74167,73185,73436,73184,73190,70923,72113,72117,76210,73432,72116,69534,70918,71838,75069,72935,72934,76213,76207,73431,73182,74174,71839,67068,69535,72115,67557,67796,75796,69180,67797,72629,68881,67554,69814,75795,67390,70161,69815,68276,72399,70429,69811,73691,69179,68273,68885,73686,73876,75792,68884,67553,72392,70426,69177,74456,68283,73884,72393,70751,70753,71840,73879,68281,75789,70168,74454,73878,72633,67388,74451,76508,70421,68642,68640,72630,72397,70422,72118,70914,75461,75065,72938,75064,71612,70915,75462,76209,75066,76208,75067,75463,70916,71359,74745,74744,71614,74746,74168,74747
on	229	68388,73435,73434,71357,68638,75457,74167,73185,72933,72932,73190,71618,72113,74176,76210,73432,71621,72116,73183,73430,76206,72934,73431,73182,67068,69535,72115,68274,73683,69817,76512,67387,76513,76507,69816,72629,67795,76511,67391,69815,68276,67555,69811,76514,75790,67801,73684,69179,73876,70166,67383,75792,73877,73687,70749,72635,71843,72392,74457,72393,71842,70745,72636,68646,71840,70425,69821,73879,75789,74454,70424,67945,71841,70746,67558,70420,76509,74450,67388,76508,73882,70421,67798,72632,70743,68642,72630,67942,72397,73880,70422,72631,71363,72938,71835,72119,70917,75462,71837,76209,68383,71359,68387,75063,73188,67937,74744,74750,71614,74746,75458,74752,68390,74168,74169,68391,75459
industriel	213	70921,73434,75457,74167,73436,72933,73190,74172,70923,72113,76211,72936,72937,73432,72116,69534,72114,73183,73430,76213,75068,76207,74174,71839,67068,69535,67557,68274,69817,75796,67392,67386,68275,72629,68881,67554,76511,67385,75795,75794,70161,69815,68276,72399,67555,68882,73685,73875,76514,75790,75791,70170,69179,68273,69541,70748,68885,73876,70166,75793,67383,75792,67553,70749,72392,70426,74456,73884,72393,67946,68888,72634,70753,71840,73879,74455,68280,67945,70752,67558,72394,70420,69818,74450,67388,76508,69819,73882,67798,68642,68278,70422,72396,68641,71363,70914,75071,75065,72938,70915,71362,71360,70917,75462,68383,71361,71359,71615,68393,73188,68392,74744,71614,71358,75464,74746,68390,74168,74747,75465
qu	209	70921,68388,67939,74170,73434,68389,71357,74749,75457,74167,74173,73185,72932,73184,74172,69533,72113,76210,73183,76206,72935,76213,73431,73182,67068,69535,72115,68274,73683,70162,76507,72629,68881,67795,68277,76511,74449,70161,69183,67794,67555,69540,68886,69178,70165,75790,72940,70170,67801,73684,68887,69541,69812,73876,75793,75792,73877,69813,73687,67553,70749,70744,68645,69177,73884,72393,71842,72634,70745,70753,70425,69821,73879,68281,74455,74454,71841,68643,72394,67941,74450,67389,67388,76508,70421,70743,68640,72630,70423,70422,72631,70914,75065,75064,75070,71835,71612,70915,70917,76209,76208,68383,75463,70916,71359,74745,68387,75063,67937,71614,71358,74746,75458,74752,68390,74168,74169,75459
an	205	67939,73434,71357,74749,75457,74167,73185,72933,72932,73437,73184,70923,72113,73433,73432,69536,69534,72114,74175,73430,76213,75068,76207,73182,67068,67557,68274,73683,69817,70163,76512,76507,68275,68881,72398,67795,76511,67391,74449,67794,67555,69811,73685,73875,75790,70164,69186,73684,70428,69812,75793,67383,75792,73877,69813,70749,68645,70426,69177,68888,72636,68646,71840,74455,75789,74454,67945,71841,72637,68643,72394,67799,76509,74450,67389,74451,72395,67798,70743,72630,72397,74453,70422,68279,68641,72118,70914,75071,75065,72939,71362,71360,71837,75066,76208,68383,71836,70916,71359,74751,74745,68393,75063,67937,68392,74744,71614,71358,71366,74746,75458,74752,68384,74168,74169,75459
france	190	67939,73435,73434,73187,67938,71357,68638,74749,75457,74167,74173,73185,72933,72113,69534,71838,75069,76206,76213,76207,73431,73182,69535,68274,69181,73683,75796,76513,76507,69816,68275,72629,67795,69182,76510,70161,67804,68276,72399,73875,70165,76515,70164,73684,69179,68273,69543,68885,67383,75792,67802,69185,73687,69542,67553,68645,72392,74456,72393,71842,68888,70745,70753,72636,68646,67944,73689,68281,74454,70424,71841,72637,70752,71845,67799,74450,67388,73882,72632,68642,72630,74453,74452,70422,68279,70914,67071,75065,75064,71835,71612,70915,70917,76209,75066,76208,68383,71836,70916,67937,71614,71358,71366,71616,74746,75458,74168,75459
notre	187	70921,67939,73186,67938,74749,74167,72933,73184,74172,72113,73432,69534,72114,73430,75069,76213,76207,73431,67068,67386,76507,68275,72629,68881,67554,72401,72398,67795,76511,75794,70161,67794,70429,69811,73685,73875,72940,73684,68273,69812,73876,70166,67383,75792,73877,69813,67553,70749,72392,74457,71842,70745,70753,73879,74455,70746,68643,72394,70420,74450,67389,70421,72630,70422,72396,70914,75461,67071,75065,75070,71835,70915,75462,76209,76208,68383,71836,71359,74745,68387,67937,74744,71614,71358,74752,74168,74169,71617
système	179	68388,67939,73434,73187,74171,70922,73185,73190,69533,71620,72937,72116,71838,76213,76207,71839,70919,69535,67557,67796,68274,73683,69817,70163,75796,67387,70162,76507,69180,67556,68881,68883,68277,69814,76511,67385,67390,75794,68276,68882,68886,70165,75791,69179,68887,73686,67383,73877,72635,70744,70426,69177,74456,68644,70425,73879,75788,75789,70168,69820,70424,67945,72633,70420,69818,70421,74453,68279,72631,71363,69538,67071,75071,75064,71362,75067,71836,75463,70916,74751,68393,73189,67937,71358,71366,74746
